,lable,text
0,CA,cá trích đông lạnh mới 100
1,CA,cá ngừ đông lạnh
2,CA,cá ngừ file đông lạnh
3,CA,cá trích đông lạnh nguyên con clupea pallasii size 250 350 gram con
4,CA,cá mòi hàng mới 100
5,CA,ca saba dong lanh frozen pacific mackerel scomber japonicus 
6,CA,cá saba đông lạnh 250g 400g
7,CA,cá saba đông lạnh 300g
8,CA,cá saba đông lạnh mới 100
9,CA,cá thu đông lạnh size 150 250g con
10,CA,cá thu nguyên con đông lạnh size 150 250 g con
11,CA,cá thu size 180 220g con đông lạnh
12,TOM,tôm càng đông lạnh norway lobsters no 0
13,CUA,cua lột đông lạnh packing 10kg thùng 
14,CUA,cua lột nguyên con đông lạnh size 100gr pcs 120gr pcs
15,CUA,càng cua đông lạnh frozen king crab
16,TOM,tôm sắt nước lạnh nguyên con đông lạnh frozen amaebi shrimp pandalus borealis size my
17,TOM,tôm sãt hlso đông lạnh loại 500grs size 13 15 hđ 2011 ltc jccu cc 02 tê khai 56529 xkd01 kv1 cl ngày 26 07 2011
18,TOM,tôm sú đông lạnh size 13 15
19,TOM,tôm sú không đầu lột vỏ chừa đuôi đông lạnhn 2 0lbs túi x 10 thùng 100net size 21 25
20,TOM,tôm sú nobashi đông lạnh
21,TOM,tôm sú tươi đông lạnh
22,TOM,tôm sú tươi đông lạnh size 13 15 đóng gói 10pcs bag x 5 bags pack x 4 packs carton x 2 cartons bundle gồm 110 thùng 55 bó hàng trả về thuộc tờ khai xuất số 7506 xkd01 c02l ngày 11 11 2011
23,TOM,tôm chân trắng maneki pw nobashi đông lạnh size 16 20
24,TOM,tôm chân trắng pd luộc đông lạnh size 60 90 
25,TOM,tôm chân trắng twf pw nobashi đông lạnh size 21 25
26,TOM,tôm thẻ chân trắng đông lạnh
27,TOM,tôm thẻ chân trắng nguyên con bỏ đầu đông lạnh size 21 25 quy cách đóng gói 6x4 lbs thùng
28,TOM,tôm thẻ chân trắng vỏ tươi đông lạnh lặt đầu 21 25
29,TOM,tôm giống chân trắng bố mẹ 
30,TOM,tom hum bong panulirus ornatus tôm bột làm giống 3 10cm 
31,TOM,tôm hùm đá giống panulirus homarus 
32,TOM,tôm sú giống cái penaeus monodon 
33,TOM,tôm sú giống đực penaeus monodon 
34,TOM,tôm thẻ bố mẹ giống đực cái penaeus vannamei 
35,TOM,tôm hùm đá 0 8 3 0kg con tên khoa học panulirus homarus
36,TOM,tôm hùm đá 0 8 3 0kg con tên khoa học panulirus homarus
37,TOM,tôm hùm bông giống panulirus ornatus 
38,TOM,tôm hùm đá giống panulirus homarus 
39,TOM,tôm hùm đá sống panulirus homarus 
40,TOM,tôm hùm đá sống panulirus homarus 
41,TOM,tôm hùm đá sống panulirus homarus 
42,TOM,nguyên liệu sx mì gói tôm sấy khô
43,TOM,trứng tôm hàng mới 100
44,CUA,cua biển sống cua thịt 0 7 1 2kg con tên khoa học scylla paramamosain
45,CUA,cua biển sống cua thịt 0 7 1 2kg con tên khoa học sylla paramamosain
46,CUA,con cua cuits 600 800gr tươi
47,CUA,con cua tươi 600 800gr
48,CUA,con cue tourteaux cuits
49,TOM,tôm giống tôm thẻ chân trắng penaeus vannamei tôm cái
50,TOM,tôm giống thẻ chân trắng penaeus vannamei  tôm cái kích cỡ lớn hơn 10cm 
51,TOM,tôm giống thẻ chân trắng penaeus vannamei tôm cái kích cỡ 10 cm trở lên 
52,TOM,tôm giống thẻ chân trắng penaeus vannamei tôm cái
53,TOM,tôm thẻ chân trắng bố mẹ penaeus vannamei  cái 100 con đực 100 con
54,TOM,tôm sú penaeus monodon con cái
55,TOM,tôm sú giống penaeus monodon tôm post larvae
56,TOM,tôm thẻ chân trắng bố mẹ size 42 45g con
57,TOM,tôm thẻ chân trắng giống penaeus vannamei tôm bố
58,TOM,tôm thẻ chân trắng penaeus vannamei để làm giống + 5 hàng miễn phí foc 
59,TOM,tôm càng xanh giống macrobrachium rosenbergii size 1 2 cm 
60,TOM,tôm càng xanh giống macrobrachium rosenbergii size 1 2cm
61,TOM,tôm giống chân trắng white shrimp penaeus vannamei 6con ctns 5con ctns 
62,DAU AN,4p143 dầu đậu tương epoxidized hóa epoxidized soybean oil jzso 02 dùng trong sx sơn 
63,DAU AN,dầu đậu nành đã được epoxi hóa adhesion promotor l esbo w22 
